위험발생객체,위험발생위치,작업프로세스,인적피해,물적피해,사고원인
트로리,,자재운반,충돌,충돌,과적운행
파이프 서포트,,조정,충돌,전도,적재방법 불량
파형강판,,,,붕괴,되메우기간 편토압 작용
펌프카 붐,,인양 및 상승,충돌,낙하,지지부재 이탈(C.P.B마스트)
펌프카 붐,,타설,충돌,낙하,붐 연결핀 파단
펌프카,,타설,충돌,비래,건설기계 작업순서 미흡
펌프카,,타설,충돌,전도,지반침하
항타기,,이동,협착,전도,지반침하
항타기,,항타,,전도,장비운용 미흡
현장,,모닥불,화상,,
횡거더,,높이조절,협착,전도,지지대 연결부 파손
흙막이가시설,대심도,,,붕괴,암반층 파쇄대
흙막이가시설,버팀대,,,붕괴,지반함수량 증가
흙막이가시설,버팀대,,,붕괴,토사의 자중증가 및 기반암석
흙막이가시설,버팀대,해체,충돌,파손,토압
흙막이가시설,버팀보,반출,충돌,낙하,해체상태 방치
흙막이가시설,벽체,,,붕괴,지지구조물 설치 미흡
흙막이가시설,벽체,,,붕괴,줄파기공 미실시
흙막이가시설,벽체,,,붕괴,조사심도와 근입심도 차이
흙막이가시설,벽체,,,붕괴,지하수 침투
흙막이가시설,벽체,,,붕괴,코너버팀대 포스트 파일 일부 미설치
흙막이가시설,벽체,,,붕괴,근입심도 부족
흙막이가시설,벽체,,충돌,전도,과도한 토압
흙막이가시설,벽체,,충돌,붕괴,설계보다 큰 토압 작용
흙막이가시설,벽체,,,붕괴,강성 부족
흙막이가시설,벽체,,,붕괴,과잉굴착
흙막이가시설,벽체,,,붕괴,사면활동
흙막이가시설,벽체,,,붕괴,설계도서 미준수
흙막이가시설,벽체,,,붕괴,응력집중
흙막이가시설,벽체,,,붕괴,우수유입
흙막이가시설,벽체,,,붕괴,전단변형 미고려
흙막이가시설,벽체,굴착,매몰,붕괴,지보공 부재 설치순서에 따른 굴착 미흡
흙막이가시설,벽체,굴착,,파괴,보일링
흙막이가시설,벽체,굴착,매몰,붕괴,과다한 굴착
