areaCode,areaName,baljuCode,baljuGubun,cnt,dogubCode,dogubGubun,notiDate
24,광주,0,공공,0,1,원도급,20200816
24,광주,1,민간(법인),0,1,원도급,20200816
24,광주,2,민간(개인),0,1,원도급,20200816
24,광주,3,전체,0,1,원도급,20200816
24,광주,0,공공,0,2,하도급,20200816
24,광주,1,민간(법인),0,2,하도급,20200816
24,광주,2,민간(개인),0,2,하도급,20200816
24,광주,3,전체,0,2,하도급,20200816
25,대전,0,공공,0,1,원도급,20200816
25,대전,1,민간(법인),0,1,원도급,20200816
25,대전,2,민간(개인),0,1,원도급,20200816
25,대전,3,전체,0,1,원도급,20200816
25,대전,0,공공,0,2,하도급,20200816
25,대전,1,민간(법인),0,2,하도급,20200816
25,대전,2,민간(개인),0,2,하도급,20200816
25,대전,3,전체,0,2,하도급,20200816
26,울산,0,공공,0,1,원도급,20200816
26,울산,1,민간(법인),0,1,원도급,20200816
26,울산,2,민간(개인),0,1,원도급,20200816
26,울산,3,전체,0,1,원도급,20200816
26,울산,0,공공,0,2,하도급,20200816
26,울산,1,민간(법인),0,2,하도급,20200816
26,울산,2,민간(개인),0,2,하도급,20200816
26,울산,3,전체,0,2,하도급,20200816
29,세종,0,공공,0,1,원도급,20200816
29,세종,1,민간(법인),0,1,원도급,20200816
29,세종,2,민간(개인),0,1,원도급,20200816
29,세종,3,전체,0,1,원도급,20200816
29,세종,0,공공,0,2,하도급,20200816
29,세종,1,민간(법인),0,2,하도급,20200816
29,세종,2,민간(개인),0,2,하도급,20200816
29,세종,3,전체,0,2,하도급,20200816
31,경기,0,공공,0,1,원도급,20200816
31,경기,1,민간(법인),1,1,원도급,20200816
31,경기,2,민간(개인),0,1,원도급,20200816
31,경기,3,전체,1,1,원도급,20200816
31,경기,0,공공,0,2,하도급,20200816
31,경기,1,민간(법인),0,2,하도급,20200816
31,경기,2,민간(개인),0,2,하도급,20200816
31,경기,3,전체,0,2,하도급,20200816
32,강원,0,공공,1,1,원도급,20200816
32,강원,1,민간(법인),0,1,원도급,20200816
32,강원,2,민간(개인),0,1,원도급,20200816
32,강원,3,전체,1,1,원도급,20200816
32,강원,0,공공,0,2,하도급,20200816
32,강원,1,민간(법인),0,2,하도급,20200816
32,강원,2,민간(개인),0,2,하도급,20200816
32,강원,3,전체,0,2,하도급,20200816
33,충북,0,공공,0,1,원도급,20200816
33,충북,1,민간(법인),0,1,원도급,20200816
33,충북,2,민간(개인),0,1,원도급,20200816
33,충북,3,전체,0,1,원도급,20200816
33,충북,0,공공,0,2,하도급,20200816
33,충북,1,민간(법인),0,2,하도급,20200816
33,충북,2,민간(개인),0,2,하도급,20200816
33,충북,3,전체,0,2,하도급,20200816
34,충남,0,공공,0,1,원도급,20200816
34,충남,1,민간(법인),0,1,원도급,20200816
34,충남,2,민간(개인),0,1,원도급,20200816
34,충남,3,전체,0,1,원도급,20200816
34,충남,0,공공,0,2,하도급,20200816
34,충남,1,민간(법인),0,2,하도급,20200816
34,충남,2,민간(개인),1,2,하도급,20200816
34,충남,3,전체,1,2,하도급,20200816
35,전북,0,공공,1,1,원도급,20200816
35,전북,1,민간(법인),0,1,원도급,20200816
35,전북,2,민간(개인),1,1,원도급,20200816
35,전북,3,전체,2,1,원도급,20200816
35,전북,0,공공,0,2,하도급,20200816
35,전북,1,민간(법인),0,2,하도급,20200816
35,전북,2,민간(개인),0,2,하도급,20200816
35,전북,3,전체,0,2,하도급,20200816
36,전남,0,공공,0,1,원도급,20200816
36,전남,1,민간(법인),0,1,원도급,20200816
36,전남,2,민간(개인),0,1,원도급,20200816
36,전남,3,전체,0,1,원도급,20200816
36,전남,0,공공,0,2,하도급,20200816
36,전남,1,민간(법인),0,2,하도급,20200816
36,전남,2,민간(개인),0,2,하도급,20200816
36,전남,3,전체,0,2,하도급,20200816
37,경북,0,공공,0,1,원도급,20200816
37,경북,1,민간(법인),0,1,원도급,20200816
37,경북,2,민간(개인),0,1,원도급,20200816
37,경북,3,전체,0,1,원도급,20200816
37,경북,0,공공,0,2,하도급,20200816
37,경북,1,민간(법인),0,2,하도급,20200816
37,경북,2,민간(개인),0,2,하도급,20200816
37,경북,3,전체,0,2,하도급,20200816
38,경남,0,공공,0,1,원도급,20200816
38,경남,1,민간(법인),0,1,원도급,20200816
38,경남,2,민간(개인),0,1,원도급,20200816
38,경남,3,전체,0,1,원도급,20200816
38,경남,0,공공,0,2,하도급,20200816
38,경남,1,민간(법인),0,2,하도급,20200816
38,경남,2,민간(개인),0,2,하도급,20200816
38,경남,3,전체,0,2,하도급,20200816
39,제주,0,공공,0,1,원도급,20200816
39,제주,1,민간(법인),0,1,원도급,20200816
39,제주,2,민간(개인),0,1,원도급,20200816
39,제주,3,전체,0,1,원도급,20200816
39,제주,0,공공,0,2,하도급,20200816
39,제주,1,민간(법인),0,2,하도급,20200816
39,제주,2,민간(개인),0,2,하도급,20200816
39,제주,3,전체,0,2,하도급,20200816
00,전체,0,공공,30,1,원도급,20200817
00,전체,1,민간(법인),16,1,원도급,20200817
00,전체,2,민간(개인),11,1,원도급,20200817
00,전체,3,전체,57,1,원도급,20200817
00,전체,0,공공,19,2,하도급,20200817
00,전체,1,민간(법인),26,2,하도급,20200817
00,전체,2,민간(개인),18,2,하도급,20200817
00,전체,3,전체,63,2,하도급,20200817
